strike,expiration,bid,ask,expiration_type,option_type,mid
1275,2/21/2020,0,0.1,standard,PUT,0.05
1280,2/21/2020,0,0.1,standard,PUT,0.05
1290,2/21/2020,0,0.1,standard,PUT,0.05
1300,2/21/2020,0.05,0.1,standard,PUT,0.075
1305,2/21/2020,0,0.1,standard,PUT,0.05
1310,2/21/2020,0,0.1,standard,PUT,0.05
1315,2/21/2020,0,0.1,standard,PUT,0.05
1320,2/21/2020,0,0.1,standard,PUT,0.05
1325,2/21/2020,0.05,0.1,standard,PUT,0.075
1330,2/21/2020,0,0.1,standard,PUT,0.05
1335,2/21/2020,0,0.15,standard,PUT,0.075
1340,2/21/2020,0,0.15,standard,PUT,0.075
1345,2/21/2020,0,0.15,standard,PUT,0.075
1350,2/21/2020,0.05,0.15,standard,PUT,0.1
1355,2/21/2020,0.05,0.35,standard,PUT,0.2
1360,2/21/2020,0,0.35,standard,PUT,0.175
1365,2/21/2020,0,0.35,standard,PUT,0.175
1370,2/21/2020,0.05,0.35,standard,PUT,0.2
1375,2/21/2020,0.1,0.15,standard,PUT,0.125
1380,2/21/2020,0.1,0.2,standard,PUT,0.15
1385,2/21/2020,0.1,0.35,standard,PUT,0.225
1390,2/21/2020,0.1,0.35,standard,PUT,0.225
1395,2/21/2020,0.1,0.15,standard,PUT,0.125
1400,2/21/2020,0.1,0.15,standard,PUT,0.125
1405,2/21/2020,0,0.35,standard,PUT,0.175
1410,2/21/2020,0.05,0.4,standard,PUT,0.225
1415,2/21/2020,0,0.4,standard,PUT,0.2
1420,2/21/2020,0.05,0.4,standard,PUT,0.225
1425,2/21/2020,0.15,0.2,standard,PUT,0.175
1430,2/21/2020,0.05,0.4,standard,PUT,0.225
1435,2/21/2020,0.15,0.4,standard,PUT,0.275
1440,2/21/2020,0.05,0.3,standard,PUT,0.175
1445,2/21/2020,0.05,0.4,standard,PUT,0.225
1450,2/21/2020,0.15,0.25,standard,PUT,0.2
1455,2/21/2020,0.05,0.45,standard,PUT,0.25
1460,2/21/2020,0.05,0.45,standard,PUT,0.25
1465,2/21/2020,0.05,0.45,standard,PUT,0.25
1470,2/21/2020,0.05,0.45,standard,PUT,0.25
1475,2/21/2020,0.15,0.25,standard,PUT,0.2
1480,2/21/2020,0.05,0.45,standard,PUT,0.25
1485,2/21/2020,0.2,0.5,standard,PUT,0.35
1490,2/21/2020,0.05,0.3,standard,PUT,0.175
1495,2/21/2020,0.05,0.5,standard,PUT,0.275
1500,2/21/2020,0.25,0.4,standard,PUT,0.325
1505,2/21/2020,0.3,0.35,standard,PUT,0.325
